cod     titulo              sinopsis                                         anio    duracion    pais        genero          imagen          director_cod        actores_cod
1       El Misterio Azul    Un thriller emocionante sobre un robo de arte.   2022    120         Estados Unidos  Suspense      misterio_azul.jpg  1                   1, 2, 3
2       Aventuras en la Selva  Una comedia divertida en la jungla.          2023    105         Brasil       Comedia      aventuras_selva.jpg 2                   4, 5
3       Sueños Estelares     Una epopeya espacial que desafía la imaginación. 2021  150         Estados Unidos  Ciencia Ficción  suenos_estelares.jpg 3                   6, 7, 8
4       El Misterio del Desierto  Un drama emocional en el desierto.       2022    110         España       Drama        misterio_desierto.jpg 4                   9, 10
5       Leyendas Perdidas  Una película de aventuras que te llevará a lugares misteriosos. 2023  130  Australia     Aventura     leyendas_perdidas.jpg 5                   11, 12, 13
6       Amor en París       Una romántica historia ambientada en la Ciudad del Amor. 2021  115  Francia       Romance      amor_paris.jpg      6                   14, 15, 16
7       Intriga en Venecia   Un emocionante thriller que te mantendrá en vilo.   2023  125  Italia       Suspense     intriga_venecia.jpg  7                   1, 2
8       Viaje al Pasado      Una fascinante aventura que desafía el tiempo.      2022  140  Estados Unidos  Ciencia Ficción  viaje_pasado.jpg    8                   4, 5, 6
9       Secretos Oscuros    Un misterio oscuro que revela secretos impactantes. 2021  135  Reino Unido   Misterio     secretos_oscuros.jpg 9                   7, 8
10      Risa en Nueva York   Una comedia hilarante ambientada en la Gran Manzana. 2023  110  Estados Unidos  Comedia      risa_nueva_york.jpg 10                  9, 10, 11
11      Odisea Espacial      Una aventura épica que te llevará más allá de las estrellas. 2022  155  Estados Unidos  Aventura     odisea_espacial.jpg 11                  12, 13, 14
12      Enigma en Berlín      Un thriller político que te mantendrá en vilo.    2021  130  Alemania      Suspense     enigma_berlin.jpg   12                  15, 16
13      Magia en el Bosque   Una película fantástica llena de criaturas mágicas. 2023  120  Canadá         Fantasía     magia_bosque.jpg    13                  1, 2, 3
14      Tragedia en Roma      Un drama impactante que se desarrolla en la Ciudad Eterna. 2022  125  Italia       Drama        tragedia_roma.jpg   14                  4, 5
15      Aventuras en el Caribe   Una emocionante historia de piratas y tesoros escondidos. 2023  140  Caribe       Aventura     aventuras_caribe.jpg 15                  6, 7, 8
